#item,x,y,width,height,label
8559796052,60,221,27,16,2
8529430052,141,198,32,33,2
7266435052,20,100,69,124,2
8071975052,176,164,40,59,2
1115965052,157,166,31,43,2
6367311052,154,136,22,49,2
2728968052,72,148,15,24,2
2548928052,205,109,36,48,2
5988129052,182,108,18,32,2
7183587052,132,111,17,13,2
1542926052,188,36,68,70,2
9145924052,125,79,18,15,2
5062355052,40,56,23,36,2
8660963052,67,71,14,15,2
5326247052,97,73,33,11,2
1498837052,139,55,52,25,2
1812117052,128,50,17,14,2
3783067052,80,32,39,26,2
6360349052,54,36,31,17,2
8893925052,144,18,25,30,2
4630197052,114,17,31,22,2
