#item,x,y,width,height,label
7958023044,122,211,52,37,2
6000193044,78,219,49,25,2
4315116044,174,168,48,61,2
2320381044,54,213,23,15,2
3839061044,86,200,40,22,2
2548773044,67,192,13,15,2
7660020044,67,148,61,49,2
8274446044,144,147,41,41,2
4876957044,11,156,22,26,2
3188290044,116,148,21,29,2
2376195044,176,142,52,35,2
3780929044,9,136,27,19,2
9253503044,180,107,20,38,2
6977784044,202,120,13,22,2
5124477044,123,123,17,15,2
6725583044,200,67,40,47,2
6166413044,11,89,15,15,2
5613005044,29,50,28,14,2
5530568044,217,22,23,38,2
6167625044,39,34,36,15,2
2069998044,192,32,23,15,2
4204887044,75,17,28,9,2
1428235044,103,10,22,14,2
7672891044,145,3,21,9,2
