#item,x,y,width,height,label
4479124742,101,217,33,31,2
7043232742,160,205,38,32,2
9307892742,222,149,26,68,2
8056134742,168,182,21,21,2
6875407742,187,160,34,35,2
2685092742,35,151,20,25,2
4739929742,26,128,19,31,2
3721098742,193,111,27,45,2
4512957742,180,124,17,18,2
7439823742,92,110,14,29,2
6436154742,166,113,10,18,2
1421569742,23,89,23,37,2
6468886742,186,112,17,10,2
5526054742,83,86,24,21,2
7209466742,144,40,42,61,2
1822622742,29,54,28,33,2
9368000742,64,44,13,20,2
2786365742,40,9,111,40,2
